name_ko,name_en,name_scientific,ins_number,cas_number,aliases,usage_condition,is_allowed,law_source
155	수크랄로스,Sucralose,,,,,,True,식품첨가물공전
156	쉘락,Shellac,,,,,,True,식품첨가물공전
157	스모크향,Smoke Flavours,,,,,,True,식품첨가물공전
158	스테비올배당체,Steviol Glycoside,,,,,,True,식품첨가물공전
159	스테아린산마그네슘,Magnesium Stearate,,,,,,True,식품첨가물공전
스테아린산칼슘,Calcium Stearate,,,,,,True,식품첨가물공전
스테아릴젖산나트륨,Sodium Stearoyl Lactylate,,,,,,True,식품첨가물공전
스테아릴젖산칼슘,Calcium Stearoyl Lactylate,,,,,,True,식품첨가물공전
스피룰리나색소,Spirulina Color,,,,,,True,식품첨가물공전
L-시스테인염산염,L-Cysteine Monohydrochloride,,,,,,True,식품첨가물공전
시아너트색소,Shea Nut Color,,,,,,True,식품첨가물공전
시클로덱스트린,Cyclodextrin,,,,,,True,식품첨가물공전
시클로덱스트린시럽,Cyclodextrin Syrup,,,,,,True,식품첨가물공전
167 시클로덱스트린액('26.1.1. 시행),Cyclodextrin Syrup,,,,,,True,식품첨가물공전
시클로헥산프로피온산알릴,Allyl Cyclohexane propionate,,,,,,True,식품첨가물공전
시트랄,Citral,,,,,,True,식품첨가물공전
시트로넬랄,Citronellal,,,,,,True,식품첨가물공전
시트로넬롤,Citronellol,,,,,,True,식품첨가물공전
식용색소녹색제3호,Food Green No.3,,,,,,True,식품첨가물공전
식용색소녹색제3호 알루미늄레이크,Food Green No.3 Aluminium Lake,,,,,,True,식품첨가물공전
식용색소적색제2호,Food Red No.2,,,,,,True,식품첨가물공전
식용색소적색제2호 알루미늄레이크,Food Red No.2 Aluminium Lake,,,,,,True,식품첨가물공전
식용색소적색제3호,Food Red No.3,,,,,,True,식품첨가물공전
식용색소적색제40호,Food Red No.40 Allura Red,,,,,,True,식품첨가물공전
식용색소적색제40호 알루미늄레이크,Food Red No.40 Aluminium Lake,,,,,,True,식품첨가물공전
식용색소적색제102호,Food Red No.102,,,,,,True,식품첨가물공전
식용색소청색제1호,Food Blue No.1,,,,,,True,식품첨가물공전
식용색소청색제1호 알루미늄레이크,Food Blue No.1 Aluminium Lake,,,,,,True,식품첨가물공전
식용색소청색제2호,Food Blue No.2,,,,,,True,식품첨가물공전
식용색소청색제2호 알루미늄레이크,Food Blue No.2 Aluminium Lake,,,,,,True,식품첨가물공전
식용색소황색제4호,Food Yellow No.4,,,,,,True,식품첨가물공전
